name,Channel_Name,Platform,Start_Year,Follower/Subscriber_count,Avg_Views_count,Core_Area,Subject,Key_points,Cross_Platform,Cross_Platform_Type,Uploaded by,Engagement_Rate
Walter Lewin,"Lectures by Walter Lewin. They will make you ♥ Physics.
",YouTube,2015,1820000,2620,JEE,1,NEET one shot,no,None,Faraz,0.14
Alakh pandey,Physics wallah,YouTube,2014,14200000,320000,Jee / Neet ,1,JEE topics,Yes,"	Instagram, Telegram, Facebook",Mahima,2.25
Nishant Vohra,Vora classes ,YouTube,2019,1100000,85000,JEE,1,Jee maths Trick ,Yes ,"Instagram , telegram",Mahima,7.73
Rohit Nagar,selfPadhai - Rohit Nagar,YouTube,2022,458000,51680,JEE,0,JEE one shot,yes,"Instagram, Telegrram",Faraz,11.28
Tharun,Quantum Project - Tharun,YouTube,2023,514000,543200,JEE,0,jee physics best teacher,no,None,Faraz,105.68
Ashish Arora,Physics Galaxy,YouTube,2011,1370000,35000,JEE/NEET,1,jee physics best teacher,yes,"Telegram, Facebook, Instagram",Faraz,2.55
Vinay Uppal,Vinay Uppal,YouTube,2021,52000,3932,JEE,1,Jee physics optics,no,None,Faraz,7.56
Henry Reich,minutephysics,YouTube,2011,5960000,315400,JEE,1,Jee physics relativity,yes,"Twitter, Facebook",Faraz,5.29
Vipin Kumar Sharma,STUDY WITH FUN,YouTube,2015,539000,58000,NEET,3,neet biology question practice,yes,Instagram,Faraz,10.76
Sachin Rana ,Sachin Rana ,YouTube,2020,580000,75000,Jee ,1,Organic chemistry ,Yes ,"Instagram , telegram",Mahima,12.93
Rajwant singh ,JEE wallah,YouTube,2022,3500000,230000,JEE,1,Physics ,Yes ,"Instagram , telegram ",Mahima ,6.57
Pankaj ,Pankaj sir chemistry ,YouTube,2017,2200000,140000,NEET/JEE,3,NEET chemistry ,Yes ,"Instagram, Telegram , facebook",Mahima ,6.36
Namo Kaul,Unacademy JEE,YouTube,2016,4100000,95000,Jee,3,Unacademy physics ,Yes ,Instagram telegram ,Mahima ,2.32
Sameer ,Unacademy Neet ,YouTube,2018,3200000,85000,NEET,1,NCERT biology,Yes ,"Instagram, telegram ",Mahima,2.66
Abhimanyu Kimawat ,NEET kaka JEE ,YouTube,2021,950000,78000,NEET/JEE,4,NEET kaka ,Yes,"Instagram , telegram",Mahima,8.21
Aman Dhattarwal,Aman Dhattarwal,YouTube,2014,4430000,240000,JEE,1,How to crack JEE ,Yes,"Instagram, Twitter/X, Facebook, LinkedIn",Mahima,5.42
Neela Bakore,neela Bakore Tutorials,YouTube,2014,598000,105401356,NEET,3,JEE and NEET mentors,NO,None,Aditi,17625.64
Anand Mani,DRAnandMani,YouTube,2021,6,109,NEET,General,JEE and NEET mentors,NO,None,Aditi,1816.67
Sudhir Sahasranaman,studywithsudhir,YouTube,2019,456000,66275420,NEET,4,JEE and NEET mentors,yes,"Whatsapp,Telegram,Instagram",Aditi,14534.08
Mohammad Kashif Alam,IITian explains by Unacademy,YouTube,2014,225000,16608422,JEE Mentorship,0,JEE Specialist,NO,None,Aditi,7381.52
SreyashBhaiyaI,JEEsociety,YouTube,2024,76400,0,JEE,0,jee guidance,yes ,whatsapp,shubhankar,0.0
Prashant Kirad,ExpHub - Prashant Kirad,YouTube,2022,118000,0,JEE,0,jee  guidance ,yes,"Telegram ,Instagram,linkedin",shubhankar,0.0
Vaibhav Deshmukh,Vaibhav Deshmukh NEET,YouTube,2017,248000,15380,NEET,3,neet biology question practice,yes,"Instagram, Telegram",Faraz,6.2
Vivash Kumar,Vivash Info Tips,YouTube,2023,3760,156,NEET,3,neet biology question practice,yes,"Telegram, Whatsapp, Instagram, Facebook",Faraz,4.15
Parth Goyal,Dr. Parth Goyal,YouTube,2018,1000000,17280,NEET,2,neet biology question practice,yes,"Telegram, Instagram",Faraz,1.73
Shujaat,Dr. Shujaat's NEET Academy,YouTube,2013,9890,616,NEET,3,neet daily practice,no ,None,Faraz,6.23
Manoj Chauhan,BestApproach,YouTube,2009,143000,0,JEE/JEE advance,4,jee guidance,yes,"telegram,instagram",shubhankar,0.0
Sudhanshu punjot,SUDHANSHU [MBBS],YouTube,2021,33800,6692,NEET,2,neet chemistry,yes,"Telegram, Instagram",Faraz,19.8
Om Prabhu,OM PRABHU AIIMS DELHI,YouTube,2022,139000,155400,NEET,2,neet chemsitry,yes,"Instagram, Telegram, Whatsapp",Faraz,111.8
Dhairav,Dhairav Academy - IIT & NEET,YouTube,2024,31600,4960,JEE/NEET,2,neet chemistry,yes,Telegram,Faraz,15.7
Chaitanya Rastogi ,DexterChem,YouTube,2021,210000,17000,JEE/NEET,1,Organic chemistry one step ,Yes ,"Instagram , linkdin , telegram",Mahima,8.1
Rahul Nandan,Chemshiksha ,YouTube,2022,26000,1900,JEE/NEET,1,Important question of IIT JEE/neet,Yes ,"Instagram , telegram ",Mahima,7.31
Dr. Rishabh Chaubey,Bio Guru ,YouTube,2021,19000,14000,NEET,1,"Bio guru, NCERT BIOLOGY FREE",yes,"Instagram , telegram ",Mahima,73.68
Nitish Singh,CampusX,YouTube,2021,65000,4800,JEE,1,Practical JEE problems solve ,Yes ,"Instagram , telegram",Mahima,7.38
Sandal Agarwal,Maths Unplugged,YouTube,2020,1050000,95000,JEE,1,Maths JEE,Yes ,"Instagram, telegram",Mahima,9.05
Saransh and Prateek Gupta,eSaral,YouTube,2016,2100000,58000,JEE,3,"eSaral , KOTA style JEE",Yes,"Instagram , telegram, facebook",Mahima,2.76
pratyaksh agarwal,Pratyaksh,YouTube,2018,147000,0,NEET,General,BIO GOD,YES,"Instagram,facebook",shubhankar,0.0
Praveen Kumar Singh,Bhai Ki Padhai,YouTube,2019,720000,85000,JEE,2,"JEE study notes , padhai tips ",Yes ,"Instagram , Telegram",Mahima,11.81
Dr.anuj pachhel,DrAnujPachhel,YouTube,2012,1720000,0,NEET,3,NEET Crack ,yes,Instagram,shubhankar,0.0
Muhammed Kashif &Waqqas Malik,Dear sir,YouTube,2016,19000000,480000,JEE,1,Easy Maths tricks ,Yes ,"Instagram, telegram, facebook",Mahima,2.53
deepak ,"DeepakAIIMSonian
",YouTube,2022,175000,0,NEET,0,NEET Crack ,yes,"Instagram , Telegram",shubhankar,0.0
Shivam Mishra ,Shivam Physics ,YouTube,2021,95000,7500,JEE,1,Free JEE physics ,Yes,"Instagram, telegram ,",Mahima,7.89
Aditya Sanjya Gupta ,Aditya Ranjan,YouTube,2021,720000,65000,JEE,1,"Aditya sir Maths , Maths tips ",Yes ,"Instagram , telegram",Mahima ,9.03
Sundeep Gupta ,M learning India,YouTube,2013,293000,19000,JEE/NEET,6,JEE mentor ,Yes ,mobilelearning.in,Mahima,6.48
Dico Shalini,MeDico Shalini,YouTube,2022,163000,0,NEET,1,NEET Crack ,YES,"INSTAGRAM,TELEGRAM",SHUBHANKAR,0.0
Rakesh Yadav ,Rakesh Yadav Readers Publication ,YouTube,2014,3500000,120000,JEE/NEET,2,"Maths , ssc maths, Competitive maths ",Yes ,"Instagram, telegram , facebook ",MAHIMA,3.43
Vivaan Gupta ,Vivaan Gupta,YouTube,2021,119000,25280,JEE,1,JEE,YES,"Instagram , telegram",Mahimaa,21.24
Vamsi Krishna / Vinay Shur,Vedantu JEE English,YouTube,2013,0,329859,JEE,2,Physics one shot ,Yes ,Instagram ,Mahima,0.0
Prashant Jain,PJ Sir Chemistry ,YouTube,2020,125000,11000,JEE,1,"Chemistry , organic chemistry advanced .",Yes ,"Instagram, telegram",Mahima,8.8
Shobhit Nirwan ,Shobhit Nirwan,YouTube,2019,3510000,290000,JEE,3,"JEE study tips , kota vs home",Yes,"Instagram, telegram , twitter/X ",Mahima,8.26
Prashant Kirad ,ExpHub-PrashantKirad,YouTube,2020,10200000,480000,JEE/NEET,3,"Exphub , Jee Neet crack free",Yes ,"Instagram , telegram, twitter/X",MAHIMA,4.71
Nitin Vijay,Motion - NV Sir,YouTube,2020,1000000,70000,JEE & NEET,1,JEE & NEET MENTOR,Yes,"FB, Linkedin, Twitter",Monish,7.0
Sameer Chincholikar, Beastchemist x Unacademy JEE,YouTube,2020,2270000,85000,JEE,4,JEE MENTOR,Yes,Telegram,Monish,3.74
Anshul Singhal,Acadza,YouTube,2020,37200,12000,JEE,4,JEE  MENTOR,Yes,"Linkedin, Insta, FB",Monish,32.26
Arvind Kalia,JEE Nexus by Unacademy,YouTube,2020,501000,35000,JEE,4,JEE MENTOR,Yes,Telegram,Monish,6.99
Kalpit Veerwal,Kalpit Veerwal,YouTube,2020,492000,25000,JEE,4,JEE and career mentor,Yes,Insta,Monish,5.08
Vishal Joshi,Nucleus - VJ Sir ,YouTube,2020,106000,15000,JEE,2,JEE MENTOR,Yes,"FB, LinkedIn, Insta",Monish,14.15
Akhilesh Kanther,Unacademy IIT JEE Chemistry ,YouTube,2020,15700,20000,JEE,2,JEE MENTOR,Yes,"Tele, Insta, FB",Monish,127.39
Surendra Kumar Mishra (SKM Sir),"SKM SIR 
",YouTube,2020,65500,8500,JEE,2,JEE MENTOR,No,None,Monish,12.98
Gavesh Bhardwaj,GB Sir,YouTube,2020,27000,18000,JEE,4,JEE MENTOR,No,None,Monish,66.67
Sankalp Jauhari,Sankalp Jauhari,YouTube,2020,433000,22000,JEE,1,JEE MENTOR,Yes,"Insta, Tele",Monish,5.08
Sakshi Vora,Vora Classes,YouTube,2020,466000,38000,JEE,2,JEE MENTOR,Yes,"Insta, Whatsapp",Monish,8.15
Paaras Thakur,Canvas Classes,YouTube,2020,136000,14000,JEE,2,JEE  MENTOR,Yes,Insta,Monish,10.29
Manish Raj - MR Sir,Competition Wallah,YouTube,2020,4720000,450000,JEE,1,JEE MENTOR,Yes,Insta,Monish,9.53
Samapti Sinha Mahapatra,PW NEET,YouTube,2020,740000,150000,NEET,3,NEET MENTOR,No,None,Monish,20.27
"Snehit Mishra
",Snehitmishra,YouTube,2021,170000,0,JEE/JEE advance,0,teaching for jee,yes,"instagram,telegram",shubhankar,0.0
Snehit Mishra,Clean Physics,YouTube,2021,48200,0,JEE main,1,teaching for jee,no,None,shubhankar,0.0
Tharun,Quantum Project - Tharun Speaks,YouTube,2023,514000,0,JEE,"1,4,2",teaching for jee,no,None,shubhankar,0.0
harshita singh,"HarshitaSingh.iitian
",YouTube,2020,131000,0,JEE,2,guidance for jee,yes,"telegram,instagram",Mahima,0.0
Seep Pahuja ,Seep Pahuja - Unacademy,YouTube,2011,525000,785280,NEET,1,Biology ,Yes ,"Instagram , telegram ",Mahima,149.58
Durgesh Thakur ,Durgesh Thakur Maths ,YouTube,2020,420000,38000,JEE,1,JEE advance Maths ,Yes ,"Instagram ,telegram",Mahima,9.05
Mahesh Shyadri,Sahyadri Tutorials ,YouTube,2017,229000,117000,JEE,3,JEE Tricks for organic chemistry,Yes,"Instagram , telegram",Mahima,51.09
Harshal Jain,Mathius ,YouTube,2025,51000,48000,JEE,3,JEE physics ,Yes ,"Telegram , facebook, instagram ",Mahima,94.12
Prasad,PrasadsirJeeMentor ,YouTube,2013,783000,77800,JEE,3,JEE mentor,No,No,Mahima,9.94
Atharva Agarwal ,AtharvaAggarwal,YouTube,2019,235000,46000,NEET,1,Biology Neet,Yes,Telegram instagram,Mahima,19.57
Prashant Tiwari ,Newindianera ,YouTube,2015,1080000,86900,JEE/NEET,4,JEE mentors ,Yes ,"Instagram , Twitter , facebook",Mahima,8.05
Anmol Sharma ,AnmolSharmaLive ,YouTube,2018,23300,28000,JEE/NEET,3,NEET mentor ,Yes ,"Instagram , telegram , trackprep",Mahima,120.17
Sneha,Shrishti classes,YouTube,2022,160000,2000,NEET,1,JEE mentors ,Yes,"Instagram telegram , linkdin , whatsapp",Mahima,1.25
Rittik Baheti ,Rittikbaheti,YouTube,2021,259000,142000,JEE,4,JEE Mentor,Yes ,"Instagram, linkdin , Whatsapp , personal mentorship group ",Mahima,54.83
Ripudaman Singh ,in_rdssingh,YouTube,2022,455000,769968,JEE,1,"IIT , physics ",Yes ,"Instagram , telegram",Mahima,169.22
Vinit Kumar,Itsmevinit,YouTube,2022,345000,28000,JEE,2,IIT guidance ,Yes ,"Instagram, linkdin, telegram",Mahima,8.12
NK Gupta,NK Gupta eSaral Maths,YouTube,2016,680000,52000,JEE,1,Maths,Yes ,"Instagram , whatsapp ",Mahima,7.65
Vishnu nagar,Etoos education,YouTube,2020,80000,12000,JEE/NEET,3,Hindi medium jee ,Yes ,"Instagram , facebook, telegram, twitter ",Mahima,15.0
Rekha Verma,Rekha Verma Biology NEET,YouTube,2018,520000,35000,NEET,3,Anatomy specialist,Yes,"Instagram, Telegram",OM,6.73
Sarvesh Srivastava,Sarvesh Srivastava JEE,YouTube,2016,790000,57000,JEE,0,JEE comprehensive guide,Yes,"Instagram, Telegram",OM,7.22
Ashwini Kumar,Ashwini Kumar Maths,YouTube,2017,660000,47000,JEE,4,Inverse trigonometry,Yes,"Instagram, Telegram",OM,7.12
Surabhi Singh,Surabhi Singh Chemistry,YouTube,2018,540000,36000,NEET,2,Hydrogen chemistry,Yes,"Instagram, Telegram",OM,6.67
Mohini Jain,Mohini Jain Biology,YouTube,2017,590000,40000,NEET,3,Vertebrate zoology,Yes,"Instagram, Telegram",OM,6.78
Rajesh Tiwari,Rajesh Tiwari Physics JEE,YouTube,2016,810000,59000,JEE,1,Motion in 2D,Yes,"Instagram, Telegram",OM,7.28
Ritesh Agarwal,Ritesh Agarwal Maths,YouTube,2017,700000,50000,JEE,4,Coordinate geometry 2,Yes,"Instagram, Telegram",OM,7.14
Shilpa Patel,Shilpa Patel Biology NEET,YouTube,2018,530000,35000,NEET,3,Circulation NEET,Yes,"Instagram, Telegram",OM,6.6
Kuldeep Singh,Kuldeep Singh Chemistry,YouTube,2016,680000,48000,JEE/NEET,2,Ionic equilibrium,Yes,"Instagram, Telegram",OM,7.06
Madhur Kumar,Madhur Kumar JEE Maths,YouTube,2017,750000,54000,JEE,4,Parabola conics,Yes,"Instagram, Telegram",OM,7.2
Radha Singh,Radha Singh Physics,YouTube,2018,610000,42000,JEE,1,Coulombs law applications,Yes,"Instagram, Telegram",OM,6.89
Devika Sharma,Devika Sharma Biology,YouTube,2017,560000,37000,NEET,3,Aquatic biology,Yes,"Instagram, Telegram",OM,6.61
Gaurav Jain,Gaurav Jain Chemistry IIT,YouTube,2016,730000,52000,JEE/NEET,2,Acid base equilibria,Yes,"Instagram, Telegram",OM,7.12
Rajiv Kumar,Rajiv Kumar Maths JEE,YouTube,2017,690000,49000,JEE,4,AP and GP problems,Yes,"Instagram, Telegram",OM,7.1
Anjana Mehta,Anjana Mehta Physics,YouTube,2018,580000,39000,JEE,1,Electrostatic force,Yes,"Instagram, Telegram",OM,6.72
Navin Soni,Navin Soni Biology NEET,YouTube,2017,550000,37000,NEET,3,Digestive system,Yes,"Instagram, Telegram",OM,6.73
Ranjit Kumar,Ranjit Kumar Chemistry,YouTube,2018,620000,43000,JEE/NEET,2,Nuclear chemistry,Yes,"Instagram, Telegram",OM,6.94
Nisha Agarwal,Nisha Agarwal Maths JEE,YouTube,2017,780000,57000,JEE,4,Probability distributions,Yes,"Instagram, Telegram",OM,7.31
Samar Singh,Samar Singh Chemistry,YouTube,2018,630000,44000,JEE/NEET,2,Analytical chemistry,Yes,"Instagram, Telegram",OM,6.98
Shubham Sharma,Shubham Sharma IIT,YouTube,2019,680000,48000,JEE,0,IIT mentorship,Yes,"Instagram, Telegram",OM,7.06
Vikas Gupta,Vikas Gupta Maths,YouTube,2015,1200000,88000,JEE,4,Black Book Maths,Yes,"Instagram, Telegram, Facebook",OM,7.33
Rajkumar Patidar,Rajkumar Patidar Physics,YouTube,2016,580000,38000,JEE,1,Modern Physics,Yes,"Instagram, Telegram",OM,6.55
Subhash Rathore,Subhash Rathore Chemistry,YouTube,2017,620000,42000,JEE/NEET,2,Inorganic chemistry specialist,Yes,"Instagram, Telegram",OM,6.77
Pooja Mam,Pooja Mam Biology,YouTube,2016,850000,62000,NEET,3,NEET Biology tips,Yes,"Instagram, Telegram",OM,7.29
Ankit Sir,Ankit Sir Physics JEE,YouTube,2017,720000,51000,JEE,1,JEE Physics problems,Yes,"Instagram, Telegram",OM,7.08
Deepak Sir,Deepak Sir Chemistry,YouTube,2016,690000,48000,JEE/NEET,2,Chemistry shortcuts,Yes,"Instagram, Telegram",OM,6.96
Saurabh Kumar,Saurabh Kumar Maths,YouTube,2018,540000,36000,JEE,4,JEE Maths solutions,Yes,"Instagram, Telegram",OM,6.67
Anubhav Singh,Anubhav Singh Physics,YouTube,2017,780000,57000,JEE,1,Physics conceptual clarity,Yes,"Instagram, Telegram",OM,7.31
Niharika Singh,Niharika Singh Biology,YouTube,2018,460000,30000,NEET,3,NEET Biology mnemonics,Yes,"Instagram, Telegram",OM,6.52
Arun Kumar,Arun Kumar Maths,YouTube,2015,920000,67000,JEE,4,JEE Advance Maths,Yes,"Instagram, Telegram, Facebook",OM,7.28
Praful Agarwal,Praful Agarwal Physics,YouTube,2016,840000,61000,JEE,1,Waves and Optics,Yes,"Instagram, Telegram",OM,7.26
Shruti Singh,Shruti Singh Chemistry,YouTube,2018,510000,34000,NEET,2,NEET Chemistry revision,Yes,"Instagram, Telegram",OM,6.67
Mohit Sir,Mohit Sir Maths JEE,YouTube,2017,780000,56000,JEE,4,Trigonometry master,Yes,"Instagram, Telegram",OM,7.18
Vikram Rathore,Vikram Rathore Physics,YouTube,2016,650000,44000,JEE,1,Thermodynamics expert,Yes,"Instagram, Telegram",OM,6.77
Priya Verma,Priya Verma Biology NEET,YouTube,2018,580000,39000,NEET,3,Genetics specialist,Yes,"Instagram, Telegram",OM,6.72
Amit Mahajan,Amit Mahajan Chemistry,YouTube,2015,870000,64000,JEE/NEET,2,Electrochemistry,Yes,"Instagram, Telegram",OM,7.36
Suresh Babu,Suresh Babu Maths,YouTube,2017,720000,51000,JEE,4,Number theory JEE,Yes,"Instagram, Telegram",OM,7.08
Rajan Vohra,Rajan Vohra Physics,YouTube,2016,690000,48000,JEE,1,Magnetism concepts,Yes,"Instagram, Telegram",OM,6.96
Anurag Mishra,Anurag Mishra Concepts,YouTube,2014,1100000,82000,JEE,1,Physics conceptual books,Yes,"Instagram, Telegram, Facebook",OM,7.45
Ravi Kumar,Ravi Kumar Biology,YouTube,2017,640000,43000,NEET,3,Human physiology,Yes,"Instagram, Telegram",OM,6.72
Naveen Kumar,Naveen Kumar JEE,YouTube,2018,590000,40000,JEE,0,IIT JEE preparation,Yes,"Instagram, Telegram",OM,6.78
Ashok Sharma,Ashok Sharma Maths,YouTube,2016,760000,54000,JEE,4,Matrices and determinants,Yes,"Instagram, Telegram",OM,7.11
Preety Bhatt,Preety Bhatt Chemistry,YouTube,2018,520000,35000,NEET,2,NEET Chemistry tips,Yes,"Instagram, Telegram",OM,6.73
Rajesh Verma,Rajesh Verma Physics,YouTube,2016,810000,59000,JEE,1,Circuit theory,Yes,"Instagram, Telegram",OM,7.28
Deepika Srivastava,Deepika Srivastava Biology,YouTube,2017,480000,31000,NEET,3,Ecology NEET,Yes,"Instagram, Telegram",OM,6.46
Santosh Kumar,Santosh Kumar JEE,YouTube,2015,930000,68000,JEE,0,JEE complete preparation,Yes,"Instagram, Telegram, Facebook",OM,7.31
Krishan Veer Singh,Krishan Veer Singh Maths,YouTube,2016,850000,62000,JEE,4,Integration master,Yes,"Instagram, Telegram",OM,7.29
Yogesh Kumar,Yogesh Kumar Physics,YouTube,2017,710000,50000,JEE,1,SHM and waves,Yes,"Instagram, Telegram",OM,7.04
Meera Soni,Meera Soni Biology,YouTube,2018,560000,37000,NEET,3,Plant physiology,Yes,"Instagram, Telegram",OM,6.61
Tarun Kumar ,IITienexplains ,YouTube,2021,2500000,180000,JEE/NEET,1,Chemistry JEE,Yes ,"Instagram , telegram ",Mahima,7.2
Aman Raj,Chemistry_Guru_Aman_Sir,YouTube,2015,312,120,JEE/NEET,1,Chemistry JEE ,YES ,"Telegram , whatsapp",Mahima,38.46
Bhannat ,Bhannatmaths ,YouTube,2021,335000,19000,JEE,1,Maths JEE,Yes,"Instagram, telegram ,facebook , twitter/X",Mahima,5.67
Rachit Jain ,ChemicalLocha,YouTube,2010,373,382,JEE,1,Chemistry tips ,No ,No ,Mahima,102.41
Ashish Gupta (sarvam institute),Practical deceloper ,YouTube,2020,172,370000,JEE/NEET,4,JEE one shot ,No,No,Mahima,215116.28
Sachin ,CreativeSachin,YouTube,2020,914000,47000,JEE,1,JEE,Yes ,"Instagram, facebook, telegram",Mahima,5.14
Vineet Loomba ,VedantuMaths,YouTube,2016,249000000,30000,JEE,1,Maths one shot jee,No ,No,Mahima,0.01
Yogesh sir ,neetwallahhindi,YouTube,2024,501000,410000,NEET,3,NEET hindi ,Yes ,"Instagram , telegram, facebook, twitter ",Mahima,81.84
Tarun ,TarunsirBiology,YouTube,2025,60,517,NEET Biology ,3,Biology,NO,None,Aditi,861.67
Sachin ,SachinSirPhysic,YouTube,2012,10500000,153914728,NEET,1,PHysics,YES,Instagram,Aditi,1465.85
Sankalp Jauhari,sankalpjauhari,YouTube,2022,433000,339152100,JEE Advance,0,JEE and NEET Mentor ,YES,"Instagram ,Telegram",Aditi,78326.12
Sivarajah Ramasamy,SivaRamasamy_TNEA,YouTube,1970,180000,22000,TNEA,4,"TNEA Cutoff Analysis, Class 12 Score Optimisation",yes,"Instagram, Telegram",om,12.22
Karthik Kumar TN,KarthikKumar_TNEA,YouTube,1970,95000,12000,TNEA,1,"State Board TN, TNEA Rank Predictor",yes,"Instagram, Telegram",om,12.63
Priya Rajan,PriyaRajan_Engineering,YouTube,1970,72000,9000,TNEA,0,"TNEA Counselling Guide, College Selection",yes,"Instagram, Telegram",om,12.5
Murugan Selvam,MuruganSelvam_TN,YouTube,1970,210000,28000,TNEA,4,Tamil Nadu State Board Maths,yes,"Instagram, Telegram",om,13.33
Arun Prakash TN,ArunPrakash_TNEA,YouTube,1970,55000,7500,TNEA,2,"TN Board Chemistry, TNEA Score",no,"Telegram, Whatsapp",om,13.64
Deepa Suresh,DeepaSuresh_NATA,YouTube,1970,40000,5000,NATA,11,"NATA Prep, B.Arch Admissions TN",yes,"Instagram, Telegram, Facebook, Twitter/X",om,12.5
Vijay Anand TN,VijayAnand_StateBoard,YouTube,1970,130000,17000,TNEA,3,"State Board Bio, TNEA PCB Stream",yes,No,om,13.08
Rajesh Mohan TN,RajeshMohan_TNEA,YouTube,1970,88000,11000,TNEA,1,Class 12 TN Physics,yes,No,om,12.5
Lakshmi Narayanan,LakshmiN_TNEA,YouTube,1970,62000,8200,TNEA,0,"TNEA Document Verification, Allotment",no,"Instagram, Facebook, Telegram",om,13.23
Senthil Kumar,SenthilKumar_TN,YouTube,1970,175000,24000,TNEA,4,"TN Board Exam Tips, TNEA Rank",yes,No,om,13.71
Nagendra Prasad K,NagendraKCET,YouTube,1970,320000,38000,KCET,4,"KCET Previous Papers, PU Board Tips",yes,"Instagram, Telegram, Facebook, Twitter",om,11.88
